rank,birth_m,death_m,persistence_m,neighborhood,void_lon,void_lat,approx_area_m2
1,534.1,3361.7,2827.6,Carson,-118.249089,33.876327,11920066.0
2,520.1,2434.0,1914.0,Pacific Palisades,-118.545021,34.098414,6853944.0
3,1485.3,3342.1,1856.9,South Gate,-118.196044,33.949,18302866.0
4,579.7,2206.7,1627.1,Carson,-118.259767,33.8672,6097856.0
5,579.9,2201.6,1621.6,Santa Clarita,-118.517029,34.351251,6076460.0
6,728.4,2332.6,1604.1,Gardena,-118.314227,33.893686,7358935.0
7,657.6,2128.2,1470.5,Tujunga Canyons,-118.36397,34.298947,6095403.0
8,1095.2,2387.7,1292.5,El Segundo,-118.390204,33.910888,9527691.0
9,724.6,1813.6,1089.0,Glendale,-118.26417,34.164751,5060128.0
10,560.3,1605.2,1044.9,Inglewood,-118.325598,33.929636,3683263.0
11,727.8,1647.2,919.5,Topanga,-118.587864,34.070815,4430075.0
12,841.4,1662.6,821.2,Alhambra,-118.143636,34.075753,4924449.0
13,523.2,1342.4,819.2,Unincorporated Santa Susana Mountains,-118.592264,34.305209,2733667.0
14,814.4,1599.8,785.4,Unincorporated Santa Susana Mountains,-118.581569,34.314365,4577667.0
15,528.6,1278.7,750.1,Glendale,-118.231498,34.156065,2565405.0
16,756.2,1446.8,690.6,Lomita,-118.323648,33.803403,3811510.0
17,562.6,1237.3,674.8,Tujunga Canyons,-118.397158,34.334643,2544512.0
18,563.1,1209.9,646.8,Glendale,-118.264036,34.155735,2469037.0
19,646.3,1285.7,639.5,Glendale,-118.254391,34.236994,2931663.0
20,549.1,1177.5,628.4,Inglewood,-118.358334,33.947316,2341160.0
21,536.6,1145.0,608.4,Inglewood,-118.325737,33.938653,2220823.0
22,530.2,1129.5,599.3,El Segundo,-118.379535,33.920026,2163430.0
23,546.3,1140.4,594.1,El Segundo,-118.379535,33.920026,2234362.0
24,669.1,1258.2,589.2,Athens,-118.314642,33.920736,2917351.0
25,531.9,1120.1,588.2,Tujunga Canyons,-118.363824,34.289931,2143386.0
26,534.0,1121.1,587.2,Tujunga Canyons,-118.363824,34.289931,2151466.0
27,533.8,1094.4,560.6,Tujunga Canyons,-118.495129,34.342503,2081963.0
28,666.4,1226.6,560.2,Tujunga Canyons,-118.397158,34.334643,2814535.0
29,526.2,1063.7,537.5,Del Aire,-118.36872,33.920146,1985234.0
30,518.9,1034.2,515.3,Playa del Rey,-118.422796,33.919533,1894395.0
31,554.3,1055.4,501.1,Glendale,-118.254659,34.255027,2035172.0
32,711.4,1206.1,494.7,Inglewood,-118.358621,33.965348,2887625.0
33,866.4,1360.9,494.5,Glendale,-118.220652,34.156174,3896105.0
34,1764.9,2252.8,488.0,Burbank,-118.318545,34.173197,12677820.0
35,670.1,1134.6,464.5,Willowbrook,-118.271111,33.903156,2557849.0
36,548.7,1012.4,463.7,Hollywood Hills,-118.318124,34.146148,1913953.0
37,545.3,1004.2,458.8,Burbank,-118.307558,34.164296,1885739.0
38,779.7,1236.0,456.3,Glendale,-118.275017,34.164639,3190946.0
39,540.8,990.0,449.2,Carson,-118.258973,33.813098,1840381.0
40,506.0,950.2,444.1,Inglewood,-118.358764,33.974365,1665432.0
41,1268.5,1706.8,438.3,Calabasas,-118.632409,34.133353,6952834.0
42,1745.5,2166.8,421.3,Carson,-118.260032,33.885234,12021561.0
43,524.6,933.8,409.2,Inglewood,-118.358764,33.974365,1670374.0
44,550.5,942.3,391.8,Inglewood,-118.358764,33.974365,1750063.0
45,510.7,897.8,387.0,Brentwood,-118.512509,34.098819,1558073.0
46,519.7,883.4,363.8,Carson,-118.281116,33.848943,1546285.0
47,521.5,884.3,362.8,Carson,-118.281116,33.848943,1552095.0
48,588.3,949.0,360.6,Granada Hills,-118.51638,34.31519,1856121.0
49,518.9,870.5,351.6,Unincorporated Santa Susana Mountains,-118.570537,34.30549,1516334.0
50,529.2,876.8,347.7,Sepulveda Basin,-118.481255,34.17134,1552586.0
51,1212.8,1559.1,346.3,Unincorporated Santa Susana Mountains,-118.581569,34.314365,6034654.0
52,513.4,855.4,342.0,Topanga,-118.576697,34.052924,1471676.0
53,544.1,884.0,339.9,Carson,-118.281116,33.848943,1601881.0
54,527.0,863.1,336.0,Santa Monica,-118.489729,34.035973,1517636.0
55,867.2,1202.9,335.7,Tujunga Canyons,-118.397158,34.334643,3365848.0
56,537.7,871.0,333.3,San Pedro,-118.257655,33.722927,1558491.0
57,542.5,875.2,332.7,Sepulveda Basin,-118.481255,34.17134,1578671.0
58,562.9,895.4,332.5,Tujunga,-118.265653,34.263931,1670394.0
59,555.8,885.4,329.7,Carson,-118.281116,33.848943,1631305.0
60,1015.4,1343.4,328.0,Glendale,-118.220652,34.156174,4369599.0
61,521.1,847.4,326.2,Inglewood,-118.347942,33.974484,1470864.0
62,501.4,825.5,324.1,Pasadena,-118.177143,34.147581,1382773.0
63,529.7,853.5,323.8,Topanga,-118.576697,34.052924,1502601.0
64,528.5,850.0,321.5,Inglewood,-118.347942,33.974484,1492467.0
65,531.3,852.4,321.0,Topanga,-118.576697,34.052924,1503779.0
66,512.7,832.3,319.6,Beverly Hills,-118.392703,34.064164,1420856.0
67,504.9,820.7,315.8,Burbank,-118.351519,34.199891,1380114.0
68,509.3,819.7,310.4,Burbank,-118.351519,34.199891,1387148.0
69,612.8,923.1,310.3,Inglewood,-118.358764,33.974365,1852946.0
70,606.4,916.1,309.7,Culver City,-118.391672,34.001051,1820411.0
71,548.0,857.5,309.5,Granada Hills,-118.537946,34.305903,1551529.0
72,549.4,857.0,307.6,Granada Hills,-118.537946,34.305903,1553382.0
73,529.7,836.8,307.1,Pacific Palisades,-118.577031,34.070955,1466550.0
74,547.8,854.0,306.2,Hansen Dam,-118.385105,34.26264,1543323.0
75,530.0,835.4,305.5,Beverly Hills,-118.392703,34.064164,1464177.0
76,541.0,845.6,304.6,Inglewood,-118.347942,33.974484,1509895.0
77,522.3,826.4,304.1,Beverly Hills,-118.403536,34.064041,1428756.0
78,524.7,828.2,303.6,Lynwood,-118.217426,33.930753,1437494.0
79,592.2,895.2,303.0,Huntington Park,-118.229151,33.993764,1737512.0
80,625.0,927.0,302.0,Inglewood,-118.358764,33.974365,1891748.0
81,520.5,820.6,300.1,Pasadena,-118.177143,34.147581,1412614.0
