census_tract,census_county,hvi
6037101110,Los Angeles County,36.53
6037101122,Los Angeles County,19.76
6037101210,Los Angeles County,43.45
6037101220,Los Angeles County,40.68
6037101300,Los Angeles County,23.03
6037101400,Los Angeles County,19.94
6037102103,Los Angeles County,33.86
6037102104,Los Angeles County,27.07
6037102105,Los Angeles County,34.68
6037102107,Los Angeles County,22.71
6037103101,Los Angeles County,26.16
6037103102,Los Angeles County,34.21
6037103200,Los Angeles County,30.18
6037103300,Los Angeles County,22.23
6037103400,Los Angeles County,28.47
6037104103,Los Angeles County,36.51
6037104105,Los Angeles County,52.33
6037104108,Los Angeles County,44.63
6037104124,Los Angeles County,29.10
6037104201,Los Angeles County,47.60
6037104203,Los Angeles County,54.96
6037104204,Los Angeles County,37.56
6037104310,Los Angeles County,50.55
6037104320,Los Angeles County,53.15
6037104401,Los Angeles County,54.57
6037104403,Los Angeles County,53.65
6037104404,Los Angeles County,59.57
6037104500,Los Angeles County,55.89
6037104610,Los Angeles County,56.17
6037104620,Los Angeles County,53.87
6037104701,Los Angeles County,61.39
6037104703,Los Angeles County,58.25
6037104704,Los Angeles County,48.06
6037104810,Los Angeles County,51.77
6037104821,Los Angeles County,50.85
6037104822,Los Angeles County,56.06
6037106010,Los Angeles County,36.88
6037106020,Los Angeles County,37.28
6037106111,Los Angeles County,31.83
6037106112,Los Angeles County,36.32
6037106113,Los Angeles County,36.58
6037106114,Los Angeles County,44.41
6037106403,Los Angeles County,40.89
6037106405,Los Angeles County,49.37
6037106406,Los Angeles County,33.13
6037106407,Los Angeles County,51.69
6037106408,Los Angeles County,50.73
6037106510,Los Angeles County,28.84
6037106520,Los Angeles County,45.23
6037106603,Los Angeles County,23.32
6037106604,Los Angeles County,42.93
6037106641,Los Angeles County,27.88
6037106642,Los Angeles County,28.76
6037106643,Los Angeles County,21.28
6037106645,Los Angeles County,26.81
6037106646,Los Angeles County,31.43
6037106648,Los Angeles County,54.37
6037106649,Los Angeles County,33.63
6037107010,Los Angeles County,44.96
6037107020,Los Angeles County,40.26
6037108101,Los Angeles County,22.69
6037108102,Los Angeles County,21.13
6037108103,Los Angeles County,17.66
6037108104,Los Angeles County,21.97
6037108201,Los Angeles County,21.01
6037108202,Los Angeles County,19.86
6037109100,Los Angeles County,35.21
6037109200,Los Angeles County,29.52
6037109300,Los Angeles County,35.46
6037109400,Los Angeles County,40.95
6037109500,Los Angeles County,46.12
6037109601,Los Angeles County,39.30
6037109603,Los Angeles County,41.51
6037109604,Los Angeles County,40.92
6037109700,Los Angeles County,32.62
6037109800,Los Angeles County,39.06
6037111100,Los Angeles County,34.22
6037111201,Los Angeles County,33.58
6037111202,Los Angeles County,31.55
6037111204,Los Angeles County,24.97
6037111205,Los Angeles County,29.28
6037111206,Los Angeles County,25.13
6037111301,Los Angeles County,32.03
